   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 663,           988,             327,              0,      3155,           0,       8190
 664,           989,             327,              0,      3167,           0,       6776
 665,           990,             327,           8021,      3170,           0,          0
 666,           991,             327,              0,      3176,           0,       9614
 667,           992,             327,           1206,      3189,           0,       1002
 668,           994,             328,              0,      3186,           0,       4052
 669,           995,             328,           5737,      3188,           0,          0
 670,           996,             328,           8004,      3203,           0,       2938
 671,           997,             328,              0,      3199,           0,          0
 672,           999,             329,           8198,      3199,           0,       7766
 673,          1003,             332,              0,      3205,           0,          0
 674,          1004,             332,              0,      3212,           0,       8136
 675,          1005,             332,              0,      3211,           0,       7780
 676,          1006,             332,              0,      3232,           0,       8150
 677,          1007,             332,              0,      3240,           0,       8402
 678,          1008,             332,              0,      3246,           0,          0
 679,          1009,             332,           8008,      3251,           0,          0
 680,          1011,             333,           8670,      3244,           0,       8139
 681,          1012,             333,           7716,      3250,           0,        837
 682,          1013,             333,              0,      3260,           0,       8146
 683,          1014,             333,              0,      3264,           0,       8452
 684,          1015,             333,              0,      3251,           0,       8020
 685,          1016,             333,           8699,      3255,           0,       5778
 686,          1018,             334,              0,      3273,           0,      11769
 687,          1021,             336,           3174,      3295,           0,      28542
 688,          1023,             337,              0,      3293,           0,      10642
 689,          1025,             338,              0,      3294,           0,      20478
 690,          1026,             338,           2216,      3303,           0,      12599
 691,          1027,             338,              0,      3304,           0,      14078
 692,          1028,             338,              0,      3308,           0,      14143
 693,          1030,             339,              0,      3312,           0,      13255
 694,          1031,             339,           2604,      3317,           0,      12881
 695,          1035,             342,              0,      3328,           0,      24707
 696,          1036,             342,           2908,      3343,           0,       8696
 697,          1037,             342,              0,      3346,           0,       9194
 698,          1038,             342,           8657,      3347,           0,      13290
 699,          1040,             343,           2494,      3344,           0,      11316
 700,          1043,             345,              0,      3383,           0,      12895
 701,          1044,             345,           3662,      3382,           0,      32497
 702,          1049,             349,              0,      3386,           0,      15653
 703,          1050,             349,           2841,      3385,           0,      10378
 704,          1051,             349,           6816,      3393,           0,       8811
 705,          1052,             349,              0,      3395,           0,      12865
 706,          1055,             351,           3046,      3403,           0,      11318
 707,          1056,             351,           2584,      3418,           0,       9171
 708,          1058,             352,              0,      3408,           0,      28015
 709,          1059,             352,           4818,      3411,           0,      14677
 710,          1060,             352,           3337,      3428,           0,      13195
 711,          1061,             352,              0,      3424,           0,      15341
 712,          1062,             352,           3382,      3433,           0,      16245
 713,          1063,             352,            996,      3443,           0,       5854
 714,          1065,             353,              0,      3446,           0,       8174
 715,          1068,             355,              0,      3435,           0,          0
 716,          1069,             355,            834,      3468,           0,          0
 717,          1070,             355,              0,      3468,           0,       8015
 718,          1071,             355,           8182,      3478,           0,       6562
 719,          1072,             355,           4390,      3480,           0,       4130
 720,          1073,             355,              0,      3478,           0,       8025
 721,          1074,             355,              0,      3486,           0,       8349
 722,          1075,             355,           1000,      3501,           0,          0
 723,          1077,             356,              0,      3493,           0,      10220
 724,          1078,             356,           3159,      3509,           0,       8077
 725,          1079,             356,            977,      3526,           0,       8249
 726,          1080,             356,              0,      3515,           0,          0
 727,          1081,             356,              0,      3517,           0,      16157
 728,          1082,             356,              0,      3536,           0,          0
 729,          1083,             356,              0,      3538,           0,      10871
 730,          1084,             356,              0,      3533,           0,          0
 731,          1085,             356,              0,      3544,           0,       8037
 732,          1086,             356,              0,      3553,           0,       8654
 733,          1087,             356,              0,      3553,           0,      14597
 734,          1089,             357,              0,      3573,           0,          0
 735,          1090,             357,              0,      3575,           0,       8030
 736,          1091,             357,              0,      3571,           0,       8744
 737,          1092,             357,              0,      3575,           0,       8183
 738,          1094,             358,              0,      3588,           0,          0
 739,          1097,             360,           7652,      3598,           0,          0
 740,          1102,             364,              0,      3598,           0,      10733
 741,          1103,             364,           1000,      3600,           0,       4901
 742,          1104,             364,              0,      3613,           0,          0
 743,          1105,             364,              0,      3618,           0,       8656
 744,          1106,             364,              0,      3623,           0,          0
 745,          1109,             366,              0,      3630,           0,       8111
 746,          1113,             369,              0,      3648,           0,          0
 747,          1116,             371,           8025,      3638,           0,       8828
 748,          1117,             371,           8023,      3647,           0,          0
 749,          1118,             371,              0,      3664,           0,      16985
 750,          1119,             371,            996,      3656,           0,       8036
 751,          1121,             372,           3758,      3664,           0,       3711
 752,          1122,             372,              0,      3691,           0,          0
 753,          1123,             372,           8015,      3691,           0,       4319
 754,          1125,             373,              0,      3700,           0,       8297
 755,          1127,             374,              0,      3709,           0,          0
 756,          1130,             376,           9530,      3706,           0,       8180
 757,          1131,             376,              0,      3715,           0,       7579
 758,          1132,             376,              0,      3714,           0,          0
 759,          1133,             376,           8005,      3708,           0,          0
 760,          1135,             377,              0,      3754,           0,        832
 761,          1136,             377,           8154,      3765,           0,          0
 762,          1140,             380,              0,      3761,           0,       8430
 763,          1142,             381,              0,      3767,           0,          0
 764,          1143,             381,           8163,      3766,           0,       8527
 765,          1144,             381,              0,      3762,           0,       8028
 766,          1145,             381,              0,      3784,           0,          0
 767,          1146,             381,            832,      3790,           0,       8175
 768,          1149,             383,              0,      3801,           0,       8513
 769,          1151,             384,              0,      3803,           0,          0
 770,          1152,             384,              0,      3814,           0,      16728
 771,          1153,             384,              0,      3822,           0,          0
