    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  491,         61107,           60627,          56051,      3783,         490,       3003
  492,         61592,           61111,          56050,      3799,         491,       4004
  493,         61694,           61212,          58052,      3796,         492,       4003
  494,         61882,           61399,          57051,      3821,         493,       3002
  495,         62007,           61523,          56050,      3824,         494,       4004
  496,         62437,           61952,          60054,      3822,         495,       4004
  497,         62460,           61974,          58052,      3829,         496,       4003
  498,         62619,           62132,          57052,      3829,         497,       3002
  499,         62828,           62340,          57051,      3837,         498,       4003
  500,         63157,           62668,          60054,      3871,         499,       3002
  501,         63601,           63111,          61055,      3879,         500,       4003
  502,         64040,           63549,          58052,      3878,         501,       4004
  503,         64145,           63653,          59053,      3889,         502,       4003
  504,         64178,           63685,          58052,      3921,         503,       4003
  505,         64196,           63702,          59054,      3929,         504,       3002
  506,         64305,           63810,          59053,      3920,         505,       3002
  507,         64361,           63865,          59053,      3918,         506,       5004
  508,         64723,           64226,          60054,      3934,         507,       4004
  509,         65037,           64539,          59053,      3946,         508,       3002
  510,         65381,           64882,          59053,      3952,         509,       4004
  511,         65411,           64911,          59053,      3960,         510,       4003
  512,         65606,           65105,          68062,      3974,         511,       3002
  513,         65756,           65254,          59054,      3983,         512,       4003
  514,         65884,           65381,          61055,      3994,         513,       4003
  515,         66359,           65855,          60054,      4003,         514,       3002
  516,         66781,           66276,          61055,      4009,         515,       3003
  517,         67003,           66497,          62055,      4018,         516,       3002
  518,         67198,           66691,          62056,      4033,         517,       4003
  519,         67549,           67041,          61055,      4039,         518,       4003
  520,         67929,           67420,          63057,      4042,         519,       4003
  521,         68162,           67652,          68062,      4049,         520,       4003
  522,         68390,           67879,          62056,      4063,         521,       4003
  523,         68515,           68003,          66060,      4075,         522,       4003
  524,         68646,           68133,          63057,      4080,         523,       3003
  525,         68857,           68343,          65058,      4089,         524,       4004
  526,         69111,           68596,          63057,      4107,         525,       4003
  527,         69159,           68643,          66060,      4091,         526,       4003
  528,         69205,           68688,          62056,      4117,         527,       3003
  529,         69482,           68964,          63057,      4124,         528,       4004
  530,         69644,           69125,          63056,      4147,         529,       4004
  531,         69682,           69162,          64058,      4155,         530,       4003
  532,         69835,           69314,          63057,      4160,         531,       4003
  533,         70128,           69606,          64058,      4173,         532,       3002
  534,         70480,           69957,          64058,      4193,         533,       4003
  535,         70690,           70166,          65058,      4195,         534,       3002
  536,         71098,           70573,          64058,      4197,         535,       4003
  537,         71558,           71032,          65059,      4203,         536,       4003
  538,         71946,           71419,          66060,      4214,         537,       4003
  539,         72463,           71935,          70063,      4224,         538,       4003
  540,         72746,           72217,          67060,      4237,         539,       4004
  541,         72917,           72387,          68061,      4237,         540,       4003
  542,         73197,           72666,          73066,      4254,         541,       4004
  543,         73340,           72808,          70063,      4256,         542,       4003
  544,         73659,           73126,          68062,      4263,         543,       4003
  545,         73704,           73170,          67061,      4274,         544,       4004
  546,         74103,           73568,          68061,      4285,         545,       3002
  547,         74162,           73626,          70063,      4289,         546,       4003
  548,         74256,           73719,          70063,      4301,         547,       4003
  549,         74529,           73991,          71064,      4304,         548,       4003
  550,         74961,           74422,          68062,      4322,         549,       4003
  551,         75349,           74809,          69063,      4331,         550,       4003
  552,         75768,           75227,          69062,      4356,         551,       4004
  553,         76052,           75510,          71064,      4363,         552,       4003
  554,         76464,           75921,          70064,      4367,         553,       4004
  555,         76734,           76190,          73066,      4370,         554,       4004
  556,         76927,           76382,          70063,      4370,         555,       4003
  557,         77142,           76596,          70064,      4372,         556,       4003
  558,         77434,           76887,          71065,      4390,         557,       4003
  559,         77456,           76908,          72065,      4414,         558,       4003
  560,         77758,           77209,          73066,      4426,         559,       4004
  561,         77843,           77293,          72064,      4436,         560,       4004
  562,         77900,           77349,          72065,      4442,         561,       4003
  563,         77991,           77439,          71064,      4457,         562,       4003
  564,         78431,           77878,          73066,      4457,         563,       4003
  565,         78790,           78236,          74067,      4462,         564,       4004
  566,         79196,           78641,          72065,      4476,         565,       5004
  567,         79379,           78823,          72065,      4483,         566,       5004
  568,         79868,           79311,          73066,      4502,         567,       4003
  569,         80147,           79589,          76069,      4509,         568,       4003
  570,         80189,           79630,          76069,      4537,         569,       4003
  571,         80680,           80120,          74067,      4537,         570,       4003
  572,         81205,           80644,          74067,      4544,         571,       5004
  573,         81735,           81173,          75068,      4548,         572,       4003
  574,         81890,           81327,          78071,      4559,         573,       4003
  575,         81907,           81343,          76069,      4561,         574,       4003
  576,         82094,           81529,          76069,      4569,         575,       5004
  577,         82637,           82071,          79072,      4581,         576,       4003
  578,         82932,           82365,          76069,      4582,         577,       4003
  579,         83390,           82822,          76069,      4591,         578,       4003
  580,         83541,           82972,          77070,      4611,         579,       4003
  581,         83920,           83350,          76068,      4620,         580,       4003
  582,         84109,           83538,          76069,      4635,         581,       4004
  583,         84370,           83798,          78070,      4642,         582,       4004
  584,         84404,           83831,          77069,      4661,         583,       5004
  585,         84603,           84029,          77069,      4668,         584,       5004
  586,         85099,           84524,          78071,      4680,         585,       5004
  587,         85141,           84565,          80072,      4684,         586,       4003
  588,         85312,           84735,          77069,      4679,         587,       4003
  589,         85426,           84848,          79072,      4681,         588,       5004
  590,         85469,           84890,          79071,      4708,         589,       4003
  591,         85805,           85225,          78071,      4710,         590,       4003
  592,         85877,           85296,          78071,      4736,         591,       5004
  593,         86307,           85725,          80072,      4745,         592,       5004
  594,         86429,           85846,          78070,      4742,         593,       4003
  595,         86796,           86212,          80072,      4748,         594,       4004
  596,         87188,           86603,          80072,      4773,         595,       5004
  597,         87587,           87001,          80072,      4772,         596,       5004
  598,         87715,           87128,          82074,      4786,         597,       4003
  599,         87775,           87187,          82074,      4778,         598,       4003
  600,         87938,           87349,          80072,      4793,         599,       4003
  601,         88183,           87593,          82074,      4814,         600,       4003
  602,         88551,           87960,          81073,      4818,         601,       4003
  603,         88742,           88150,          83075,      4838,         602,       4003
  604,         88868,           88275,          81073,      4827,         603,       5005
  605,         89258,           88664,          84583,      4827,         604,       5004
  606,         89456,           88861,          83076,      4866,         605,       5004
  607,         89593,           88997,          83075,      4868,         606,       5004
  608,         89886,           89289,          84076,      4901,         607,       4003
  609,         90410,           89812,          83076,      4907,         608,       4003
  610,         90761,           90162,          83075,      4906,         609,       5004
  611,         91157,           90557,          86078,      4917,         610,       4003
  612,         91691,           91090,          86078,      4917,         611,       4003
  613,         92128,           91526,          87079,      4934,         612,       4003
  614,         92142,           91539,          87078,      4954,         613,       5004
  615,         92153,           91549,          84075,      4956,         614,       4003
  616,         92626,           92021,          86078,      4959,         615,       4003
  617,         92907,           92301,          88080,      4962,         616,       5004
  618,         93290,           92683,          85077,      4965,         617,       5005
  619,         93876,           93268,          86077,      4977,         618,       4003
  620,         94042,           93433,          87079,      4969,         619,       6005
  621,         94545,           93935,          90081,      4985,         620,       4004
  622,         94983,           94372,          87078,      4999,         621,       6005
  623,         95040,           94428,          89081,      5015,         622,       5004
  624,         95146,           94533,          89081,      5055,         623,       5004
  625,         95708,           95094,          89081,      5058,         624,       4003
  626,         96322,           95707,          89586,      5044,         625,       4003
  627,         96859,           96243,          88080,      5062,         626,       5004
  628,         97318,           96701,          89081,      5057,         627,       4003
  629,         97391,           96773,          88080,      5072,         628,       4004
  630,         98010,           97391,          92083,      5081,         629,       5004
  631,         98590,           97970,          90081,      5085,         630,       4003
  632,         99062,           98441,          91082,      5074,         631,       5004
  633,         99128,           98506,          91082,      5079,         632,       5004
  634,         99613,           98990,          92083,      5112,         633,       5004
  635,         99778,           99154,          92083,      5113,         634,       4003
  636,        100093,           99468,         103094,      5136,         635,       5004
  637,              ,                ,               ,      5136,         636,       5004
  638,              ,                ,               ,      5141,         637,       5004
  639,              ,                ,               ,      5161,         638,       5004
  640,              ,                ,               ,      5199,         639,       5004
  641,              ,                ,               ,      5210,         640,       5004
  642,              ,                ,               ,      5219,         641,       5005
  643,              ,                ,               ,      5214,         642,       5004
  644,              ,                ,               ,      5209,         643,       5004
  645,              ,                ,               ,      5216,         644,       5004
  646,              ,                ,               ,      5232,         645,       4003
  647,              ,                ,               ,      5240,         646,       5004
  648,              ,                ,               ,      5253,         647,       5004
  649,              ,                ,               ,      5261,         648,       4003
  650,              ,                ,               ,      5266,         649,       5004
  651,              ,                ,               ,      5269,         650,       5004
  652,              ,                ,               ,      5288,         651,       5004
  653,              ,                ,               ,      5307,         652,       5004
  654,              ,                ,               ,      5317,         653,       5004
  655,              ,                ,               ,      5321,         654,       5004
  656,              ,                ,               ,      5320,         655,       5004
  657,              ,                ,               ,      5329,         656,       5004
  658,              ,                ,               ,      5343,         657,       5004
  659,              ,                ,               ,      5350,         658,       5003
  660,              ,                ,               ,      5354,         659,       5004
  661,              ,                ,               ,      5359,         660,       5004
  662,              ,                ,               ,      5382,         661,       4003
  663,              ,                ,               ,      5378,         662,       5004
  664,              ,                ,               ,      5401,         663,       5004
  665,              ,                ,               ,      5413,         664,       5004
  666,              ,                ,               ,      5413,         665,       5004
  667,              ,                ,               ,      5436,         666,       5004
  668,              ,                ,               ,      5415,         667,       4003
  669,              ,                ,               ,      5418,         668,       5005
  670,              ,                ,               ,      5451,         669,       5004
  671,              ,                ,               ,      5462,         670,       5004
  672,              ,                ,               ,      5499,         671,       5004
